item_id,label,caption_len,caption,len_diff_from_avg
37542445391,0.9283194780989376,72,http://ift.tt/2kt1IO4 sunset with Grandma #yourdailymiles via Instagram ,0.32500000000000284
37494554776,1.115477217419936,73,Sources thermales à banff 6 degrés dehors 39 dans l eau le top du top nan,0.6749999999999972
36874130063,0.9510903995190536,73,#Cars All Generations of Porsche 911 GT3 in White [2048x1152] via Tumblr ,0.6749999999999972
37492783416,0.9004643264490856,73,When you turn the corner and a building is winking at you. via Instagram ,0.6749999999999972
49108304702,0.9757524537533228,71,Tyler Patterson S18 WPTDS S18 WPTDS Sacramento at Thunder Valley Casino,1.3250000000000028
49105144708,1.0473057147783564,74,Always interesting to be with the @Akvo hub managers and team leaders. nan,1.6749999999999972
37244557800,1.159198594849254,74,Climacodon seotentrionalis Mont-Laurier. Sur un érable encore bien en vie.,1.6749999999999972
36871522353,0.925999418556223,74,Copa do brasil Sub17 Botafogo 2x0 America-MG Creditos: Valdir Santiago nan,1.6749999999999972
23688819768,1.1162616917243662,74,Copa do brasil Sub17 Botafogo 2x0 America-MG Creditos: Valdir Santiago nan,1.6749999999999972
37452443006,1.1375035237499351,74,"Plant, plant, plant?! #catsofinstagram x #plantsofinstagram... via Tumblr ",1.6749999999999972
49108507332,0.9004643264490856,74,N841AE | Embraer E140LR | Envoy Air | KCLE                                ,1.6749999999999972
36792740084,1.159198594849254,70,Seagull and Sunset at Scarborough Bluffs ❤️ Photo by Fatema Atayee nan,2.325000000000003
23688546608,1.0931094043914815,70,Who had the most fun at Old Lou Brew tonight? This guy 🐾 on Instagram ,2.325000000000003
37541265171,0.925999418556223,70,Wedding_Mars&BernardWedding__MG_8013__Sep 28 2017__Sep 28 2017.jpg nan,2.325000000000003
37538024731,0.9004643264490856,70,Wedding_Mars&BernardWedding__W9A7467__Sep 28 2017__Sep 28 2017.jpg nan,2.325000000000003
36831320264,0.9004643264490856,70,Wedding_Mars&BernardWedding__MG_7819__Sep 28 2017__Sep 28 2017.jpg nan,2.325000000000003
